xi,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
3.212347381200091057e-02,5.579416060975406211e-02,1.666666666666666774e-03,3.911524612639350285e-07,1.843498807552205391e-04,1.253237376039206589e-06,2.232365555692379742e-03,5.406429054660044642e-03,9.507772389868045021e-04
3.229984693092350923e-01,5.564162024990424588e-02,1.666666666666666774e-03,3.669197513463319754e-07,3.776329529429741836e-04,1.247670751794836473e-06,5.934748777047732689e-03,1.423748974472116569e-02,1.559744485023865966e-03
3.255001321194318731e+00,5.542738829846889648e-02,1.666666666666666774e-03,3.218810696800694467e-07,2.066073311586679882e-04,1.238813985447212343e-06,1.198955187074170550e-02,2.821864632887016722e-02,1.255781010282946888e-03
3.269056457581999808e+01,5.530810637766706700e-02,1.666666666666666774e-03,2.790194700681601618e-07,3.720019068912724513e-05,1.232154774114269494e-06,1.671981932530471060e-02,3.866416193361543741e-02,2.709130881273776349e-05
1.269896025604931415e-02,8.873928354089417603e-01,1.666666666666666774e-03,3.926265280785857524e-07,8.804843798563148817e-06,1.222038989026030581e-06,2.983142226482712184e-03,5.461427525996531696e-02,4.328788092372339567e-04
1.269353899718880796e-01,8.875823126195563351e-01,1.666666666666666774e-03,3.704042009412020173e-07,1.711321771078467267e-04,1.162287249228081290e-06,8.455623733614884771e-03,1.464860882771994444e-01,9.066058250321923015e-04
1.246728570571280947e+00,8.955999155677982770e-01,1.666666666666666774e-03,3.268660940643205391e-07,1.238761809307939790e-03,1.055256696345275319e-06,1.852287441236667720e-02,3.007859404619087629e-01,5.415123614027888416e-03
1.187912717984324829e+01,9.175035092495014144e-01,1.666666666666666774e-03,2.824660596530716786e-07,2.654041105093732540e-03,9.572015766669058004e-07,2.325030222101406169e-02,4.273068294659396749e-01,2.143013599545493322e-02
8.183611201889662290e-02,3.495646484842005342e-03,3.333333333333333547e-03,4.469859263743930089e-07,8.917261507066762171e-04,1.256405575794214885e-06,1.254567675223164109e-03,3.683926451297780957e-04,5.180034537687731172e-03
8.393007433910473214e-01,3.451764803779962254e-03,3.333333333333333547e-03,4.241075618714636512e-07,1.235571953996261740e-03,1.256074588044929662e-06,3.053645788898838413e-03,8.950253134020202950e-04,7.636654694708982713e-03
