# K_H K_S D inv_s err_inv_s inv_f err_inv_f eff err_eff
-2.0000e+00 -4.0000e+00 -8.0000e+00 2.6783e-09 5.7793e-01 6.2828e-07 6.8395e-02 1.2672e-02 5.4074e-01
-2.0000e+00 -4.0000e+00 -7.0000e+00 2.6633e-09 5.8196e-01 6.2792e-07 5.1145e-02 1.2601e-01 5.4287e-01
-2.0000e+00 -4.0000e+00 -6.0000e+00 2.5215e-09 6.1858e-01 6.2456e-07 1.1290e-01 1.1930e+00 5.7968e-01
-2.0000e+00 -3.0000e+00 -1.0000e+01 2.6798e-08 5.7726e-01 6.2831e-07 7.0123e-02 1.2679e-03 5.6101e-01
-2.0000e+00 -3.0000e+00 -9.0000e+00 2.6783e-08 5.7769e-01 6.2828e-07 6.8387e-02 1.2672e-02 5.4001e-01
-2.0000e+00 -3.0000e+00 -8.0000e+00 2.6633e-08 5.8136e-01 6.2792e-07 5.1128e-02 1.2601e-01 5.4165e-01
-2.0000e+00 -3.0000e+00 -7.0000e+00 2.5215e-08 6.1640e-01 6.2456e-07 1.1293e-01 1.1930e+00 5.7682e-01
-2.0000e+00 -3.0000e+00 -6.0000e+00 1.6445e-08 8.3365e-01 6.0354e-07 1.2019e+00 7.7806e+00 7.9507e-01
-2.0000e+00 -2.0000e+00 -1.0000e+01 2.6783e-07 5.7769e-01 6.2828e-07 6.8386e-02 1.2672e-02 5.3998e-01
-2.0000e+00 -2.0000e+00 -9.0000e+00 2.6633e-07 5.8135e-01 6.2792e-07 5.1127e-02 1.2601e-01 5.4161e-01
-2.0000e+00 -2.0000e+00 -8.0000e+00 2.5215e-07 6.1633e-01 6.2456e-07 1.1294e-01 1.1930e+00 5.7674e-01
-2.0000e+00 -2.0000e+00 -7.0000e+00 1.6445e-07 8.3365e-01 6.0354e-07 1.2019e+00 7.7806e+00 7.9507e-01
-2.0000e+00 -2.0000e+00 -6.0000e+00 3.6650e-08 1.3459e+00 5.7212e-07 3.1039e+00 1.7340e+01 1.3048e+00
-2.0000e+00 -1.0000e+00 -1.0000e+01 2.6633e-06 5.8135e-01 6.2792e-07 5.1127e-02 1.2601e-01 5.4161e-01
-2.0000e+00 -1.0000e+00 -9.0000e+00 2.5215e-06 6.1633e-01 6.2456e-07 1.1294e-01 1.1930e+00 5.7674e-01
-2.0000e+00 -1.0000e+00 -8.0000e+00 1.6445e-06 8.3365e-01 6.0354e-07 1.2019e+00 7.7806e+00 7.9507e-01
-2.0000e+00 -1.0000e+00 -7.0000e+00 3.6650e-07 1.3459e+00 5.7212e-07 3.1039e+00 1.7340e+01 1.3048e+00
-2.0000e+00 -1.0000e+00 -6.0000e+00 4.1765e-08 1.6889e+00 5.6397e-07 3.7130e+00 1.9760e+01 1.6205e+00
-1.0000e+00 -4.0000e+00 -1.0000e+01 2.6800e-10 5.7822e-01 6.2832e-07 7.0337e-02 1.2680e-05 2.5672e+00
-1.0000e+00 -4.0000e+00 -9.0000e+00 2.6800e-10 5.7820e-01 6.2832e-07 7.0319e-02 1.2680e-04 7.5127e-01
-1.0000e+00 -4.0000e+00 -8.0000e+00 2.6798e-10 5.7805e-01 6.2831e-07 7.0145e-02 1.2679e-03 5.6281e-01
-1.0000e+00 -4.0000e+00 -7.0000e+00 2.6783e-10 5.7848e-01 6.2828e-07 6.8409e-02 1.2672e-02 5.4181e-01
-1.0000e+00 -4.0000e+00 -6.0000e+00 2.6633e-10 5.8217e-01 6.2792e-07 5.1150e-02 1.2600e-01 5.4344e-01
-1.0000e+00 -3.0000e+00 -1.0000e+01 2.6800e-09 5.7765e-01 6.2832e-07 7.0304e-02 1.2680e-04 7.5050e-01
-1.0000e+00 -3.0000e+00 -9.0000e+00 2.6798e-09 5.7750e-01 6.2831e-07 7.0131e-02 1.2679e-03 5.6202e-01
-1.0000e+00 -3.0000e+00 -8.0000e+00 2.6783e-09 5.7793e-01 6.2828e-07 6.8395e-02 1.2672e-02 5.4103e-01
-1.0000e+00 -3.0000e+00 -7.0000e+00 2.6633e-09 5.8196e-01 6.2792e-07 5.1145e-02 1.2600e-01 5.4316e-01
-1.0000e+00 -3.0000e+00 -6.0000e+00 2.5215e-09 6.1858e-01 6.2456e-07 1.1290e-01 1.1930e+00 5.7997e-01
-1.0000e+00 -2.0000e+00 -1.0000e+01 2.6798e-08 5.7726e-01 6.2831e-07 7.0123e-02 1.2679e-03 5.6130e-01
-1.0000e+00 -2.0000e+00 -9.0000e+00 2.6783e-08 5.7769e-01 6.2828e-07 6.8387e-02 1.2672e-02 5.4030e-01
-1.0000e+00 -2.0000e+00 -8.0000e+00 2.6633e-08 5.8136e-01 6.2792e-07 5.1128e-02 1.2600e-01 5.4193e-01
-1.0000e+00 -2.0000e+00 -7.0000e+00 2.5215e-08 6.1640e-01 6.2456e-07 1.1293e-01 1.1930e+00 5.7711e-01
-1.0000e+00 -2.0000e+00 -6.0000e+00 1.6445e-08 8.3365e-01 6.0354e-07 1.2019e+00 7.7806e+00 7.9535e-01
-1.0000e+00 -1.0000e+00 -1.0000e+01 2.6783e-07 5.7769e-01 6.2828e-07 6.8386e-02 1.2672e-02 5.4027e-01
-1.0000e+00 -1.0000e+00 -9.0000e+00 2.6633e-07 5.8135e-01 6.2792e-07 5.1127e-02 1.2600e-01 5.4190e-01
-1.0000e+00 -1.0000e+00 -8.0000e+00 2.5215e-07 6.1633e-01 6.2456e-07 1.1294e-01 1.1930e+00 5.7703e-01
-1.0000e+00 -1.0000e+00 -7.0000e+00 1.6445e-07 8.3365e-01 6.0354e-07 1.2019e+00 7.7806e+00 7.9535e-01
-1.0000e+00 -1.0000e+00 -6.0000e+00 3.6650e-08 1.3459e+00 5.7212e-07 3.1039e+00 1.7340e+01 1.3051e+00
