zeta,tau,p_out,inv_s,err_inv_s,inv_f,err_inv_f,eff,err_eff
2.095625864464304572e-02,3.084187964891250466e+00,1.666666666666666430e+01,3.967801180765490737e-02,1.039185335923924289e-04,6.167940724158666420e-04,8.443962689451578896e-04,3.630050676413410643e-02,8.616691398369295720e-06
9.696951741203699293e-02,3.093755728671496286e+00,1.666666666666666430e+01,3.727460616096864299e-02,4.605431207104674447e-04,5.818116914746717955e-04,3.417255958415983848e-03,1.415901994868768443e-01,1.046711680632466052e-03
1.859779569839176269e-03,5.376981316589438120e-02,3.333333333333332860e+01,4.613119641156365747e-02,5.948515513857447787e-06,6.283052778742224476e-04,1.806500062117400118e-05,4.218441012133737774e-05,1.541508965806116446e-02
8.632914283413277434e-03,5.376618695879831211e-02,3.333333333333332860e+01,4.605324983657036603e-02,2.738598622580406587e-05,6.282574368835283900e-04,8.331518162669669886e-05,1.944528007858494292e-04,1.405156001196097978e-03
4.008261847336997558e-02,5.374984898911344677e-02,3.333333333333332860e+01,4.570496509168963523e-02,1.224169214889400865e-04,6.280436804599801416e-04,3.755946544773431793e-04,8.745736103307205503e-04,5.497532429672642371e-03
1.862731759229859507e-01,5.368459495281521776e-02,3.333333333333332860e+01,4.433391223632706518e-02,4.785595324245031233e-04,6.272023711585632917e-04,1.538451466274559252e-03,3.547861624463867578e-03,8.615439714886480652e-03
9.004164749961345027e-03,3.450883665769433756e-02,3.333333333333332860e+01,4.604997286091321029e-02,1.841853738199601340e-03,6.282776454656036026e-04,2.026947991635864906e-05,1.301351211088398350e-04,2.691892793192590585e-03
2.585651344660793230e-02,5.577896545431655639e-02,3.333333333333332860e+01,4.585951428286166864e-02,4.583785584959477501e-03,6.281319439823513599e-04,9.697529092847537418e-05,5.937848922650985906e-04,1.953859165704946096e-02
2.770970814966897816e-02,2.415878747139272309e-01,3.333333333333332860e+01,4.581153975039183035e-02,7.497912378123184262e-04,6.274555032209518492e-04,4.093845943931749207e-04,2.744122719342189862e-03,1.476650200545431965e-03
7.827449037533833198e-02,3.969661751937559879e-01,3.333333333333332860e+01,4.518055033605432314e-02,1.309436506668139842e-02,6.245287572696884247e-04,1.383788864103862410e-03,1.200556420087192308e-02,5.759283823498109051e-02
1.128525066587270217e-03,8.555320685302365558e-01,3.333333333333332860e+01,4.613456514162284083e-02,6.053092646021575111e-06,6.281905193505930634e-04,2.277104518591595864e-05,4.074073537431444070e-04,1.630354210928153290e-03
5.238954731884295883e-03,8.554005476098730520e-01,3.333333333333332860e+01,4.606867095056743633e-02,2.763484610535969842e-05,6.277274725813363843e-04,1.050879635493728501e-04,1.879999627279231632e-03,8.879274017944747442e-06
2.433326641746219599e-02,8.548313191356735619e-01,3.333333333333332860e+01,4.577216628279368038e-02,1.190465885044120708e-04,6.256403782274960962e-04,4.751756708601092075e-04,8.496069804715724802e-03,1.780739877701138251e-05
1.131967098673048594e-01,8.529306070268544149e-01,3.333333333333332860e+01,4.457210328979853420e-02,4.089220416601801740e-04,6.171282541566797423e-04,1.971737619055842494e-03,3.511226511956675594e-02,1.275159476420903264e-03
9.721927084413303170e-04,3.085807961684639888e+00,3.333333333333332860e+01,4.612484487373205710e-02,3.349261374013444236e-06,6.279209768831995686e-04,2.902204857238221825e-05,1.264821362586529118e-03,4.111932650001371412e-04
4.513156839272038090e-03,3.085371724658330983e+00,3.333333333333332860e+01,4.602409248462409341e-02,1.519122409778770759e-05,6.264863921437103991e-04,1.337026295320462314e-04,5.818435529900291454e-03,8.967033394324524923e-05
